"year","month","mw_00001","mw_00002","mw_00003"
2018,8,2.279778866,0,0.337077812
2018,9,0,0,0
2018,10,9.949453354,8.738332272,7.142061234
2018,11,83.70045233,82.747764104,77.298046115
2018,12,270.62783576,261.197391256,266.922343252
2019,1,400.507785318,389.795717733,382.946057294
2019,2,236.172644138,239.690086839,225.747768404
2019,3,286.035764209,231.970920553,335.749412526
2019,4,139.939230117,102.470253934,75.900256697
2019,5,9.638264656,0,5.912305832
2019,6,2.294485867,0.814520839,1.407625127
2019,7,5.299962044,0,0
2019,8,0,0,0
2019,9,0,0,0
2019,10,9.802321911,7.534369469,6.38518691
2019,11,106.843513496,80.593337753,71.322234981
2019,12,157.213979724,161.008209231,175.765588995
2020,1,236.799922008,233.714295394,242.881091582
2020,2,225.666585454,206.15294789,216.807373052
2020,3,67.385825631,67.621988292,69.740015983
2020,4,25.84780884,21.084877491,16.692283631
2020,5,5.037334204,0.057112252,1.451021962
2020,6,9.136762415,3.264868257,7.934429582
2020,7,10.613174915,0.034044159,2.532031965
2020,8,0,0,0
2020,9,1.277482629,0.411632895,0.510748893
2020,10,15.987718273,14.585085237,13.132310053
2020,11,24.002915383,20.955858469,14.316320897
2020,12,217.485966672,215.134932043,232.378151426
